metric	aMGS_alpha	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
cosine	0.4	0	1000	1000	57.080000	56.675000	0.200000	0.201383	4.109993e-03
cosine	0.4	1	2000	2000	74.145000	74.505000	0.200000	0.206513	2.958482e-03
cosine	0.4	2	4000	4000	99.695000	99.840000	0.200000	0.204887	2.086741e-03
cosine	0.4	3	8000	8000	130.875000	131.120000	0.200000	0.200160	1.495697e-03
cosine	0.4	4	16000	16000	172.385000	172.295000	0.200000	0.201075	1.207123e-03
cosine	0.4	5	32000	32000	232.190000	234.080000	0.200000	0.200679	8.784669e-04
cosine	0.4	6	64000	64000	301.630000	301.140000	0.200000	0.201939	6.958607e-04
cosine	0.4	7	128000	128000	401.270000	402.120000	0.200000	0.201837	4.693119e-04
cosine	0.4	8	256000	256000	527.120000	525.570000	0.200000	0.200479	3.943586e-04
cosine	0.4	9	512000	512000	688.210000	687.660000	0.200000	0.200662	3.568262e-04
