metric	k	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	100	0	1000	1000	425.240000	425.128000	0.100110	0.100706	1.256065e-04
jaccard	100	1	2000	2000	525.588000	525.242000	0.100110	0.100451	1.166543e-04
jaccard	100	2	4000	4000	624.858000	624.764000	0.099959	0.099753	1.089998e-04
jaccard	100	3	8000	8000	724.882000	724.676000	0.100034	0.100064	1.123931e-04
jaccard	100	4	16000	16000	825.650000	824.408000	0.099997	0.100738	9.962737e-05
jaccard	100	5	32000	32000	925.586000	924.860000	0.099997	0.100084	8.957927e-05
jaccard	100	6	64000	64000	1025.772000	1025.314000	0.099997	0.100529	7.660863e-05
jaccard	100	7	128000	128000	1124.954000	1125.272000	0.100001	0.100517	7.331101e-05
jaccard	100	8	256000	256000	1225.428000	1225.016000	0.099999	0.099874	7.127225e-05
jaccard	100	9	512000	512000	1324.730000	1325.136000	0.100000	0.100256	6.683256e-05
