metric	k	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
cosine	100	0	1000	1000	424.964000	424.454000	0.100000	0.100568	2.475918e-04
cosine	100	1	2000	2000	524.756000	524.354000	0.100000	0.099232	2.266937e-04
cosine	100	2	4000	4000	624.290000	624.632000	0.100000	0.099996	1.836227e-04
cosine	100	3	8000	8000	724.416000	725.212000	0.100000	0.100057	1.912059e-04
cosine	100	4	16000	16000	825.648000	825.294000	0.100000	0.100449	1.733103e-04
cosine	100	5	32000	32000	924.840000	924.584000	0.100000	0.100822	1.564494e-04
cosine	100	6	64000	64000	1025.354000	1025.432000	0.100000	0.100248	1.416354e-04
cosine	100	7	128000	128000	1125.342000	1125.316000	0.100000	0.099925	1.397996e-04
cosine	100	8	256000	256000	1224.720000	1224.674000	0.100000	0.100128	1.072721e-04
cosine	100	9	512000	512000	1324.246000	1325.830000	0.100000	0.100309	1.145886e-04
