metric	k	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
cosine	100	0	1000	1000	425.061000	425.582000	0.500000	0.501082	3.931458e-04
cosine	100	1	2000	2000	524.864000	524.826000	0.500000	0.501033	4.131628e-04
cosine	100	2	4000	4000	624.839000	624.227000	0.500000	0.500302	3.629753e-04
cosine	100	3	8000	8000	725.125000	725.060000	0.500000	0.500615	3.504561e-04
cosine	100	4	16000	16000	825.819000	825.398000	0.500000	0.501708	3.153631e-04
cosine	100	5	32000	32000	925.453000	925.428000	0.500000	0.500696	2.715353e-04
cosine	100	6	64000	64000	1025.679000	1025.315000	0.500000	0.500198	2.417046e-04
cosine	100	7	128000	128000	1125.569000	1125.709000	0.500000	0.501016	2.360325e-04
cosine	100	8	256000	256000	1224.991000	1224.852000	0.500000	0.500015	2.327945e-04
cosine	100	9	512000	512000	1325.076000	1325.371000	0.500000	0.500156	2.023175e-04
