metric	aMGS_alpha	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
cosine	0.25	0	1000	1000	30.300000	29.975000	0.500000	0.503022	8.517142e-03
cosine	0.25	1	2000	2000	36.830000	36.950000	0.500000	0.519132	6.904193e-03
cosine	0.25	2	4000	4000	45.025000	44.860000	0.500000	0.509095	5.626518e-03
cosine	0.25	3	8000	8000	52.850000	53.145000	0.500000	0.504320	4.662027e-03
cosine	0.25	4	16000	16000	64.075000	64.140000	0.500000	0.509225	3.993534e-03
cosine	0.25	5	32000	32000	76.610000	76.790000	0.500000	0.499266	3.308783e-03
cosine	0.25	6	64000	64000	92.350000	91.955000	0.500000	0.510452	2.774679e-03
cosine	0.25	7	128000	128000	109.080000	108.865000	0.500000	0.506228	2.758595e-03
cosine	0.25	8	256000	256000	130.245000	129.945000	0.500000	0.501691	1.945087e-03
cosine	0.25	9	512000	512000	155.880000	155.840000	0.500000	0.503712	1.498151e-03
