metric	aMGS_alpha	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
cosine	0.25	0	1000	1000	30.405000	30.555000	0.200000	0.200872	8.558154e-03
cosine	0.25	1	2000	2000	36.865000	37.230000	0.200000	0.211451	6.438568e-03
cosine	0.25	2	4000	4000	44.600000	44.845000	0.200000	0.206345	5.075512e-03
cosine	0.25	3	8000	8000	53.135000	53.185000	0.200000	0.198188	4.460929e-03
cosine	0.25	4	16000	16000	64.535000	63.935000	0.200000	0.206272	3.679539e-03
cosine	0.25	5	32000	32000	76.580000	76.425000	0.200000	0.199275	3.242919e-03
cosine	0.25	6	64000	64000	91.585000	92.010000	0.200000	0.204917	2.642405e-03
cosine	0.25	7	128000	128000	109.030000	108.935000	0.200000	0.201906	2.012692e-03
cosine	0.25	8	256000	256000	130.125000	129.725000	0.200000	0.202607	1.907957e-03
cosine	0.25	9	512000	512000	154.960000	156.025000	0.200000	0.201379	1.629455e-03
