metric	aMGS_alpha	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	0.4	0	1000	1000	56.715000	56.610000	0.300390	0.305129	3.972493e-03
jaccard	0.4	1	2000	2000	74.265000	74.315000	0.299968	0.307760	2.350744e-03
jaccard	0.4	2	4000	4000	100.520000	100.585000	0.299968	0.299721	1.709042e-03
jaccard	0.4	3	8000	8000	131.670000	130.800000	0.299968	0.301984	1.199289e-03
jaccard	0.4	4	16000	16000	172.205000	173.185000	0.300020	0.303098	1.041115e-03
jaccard	0.4	5	32000	32000	233.070000	232.175000	0.299994	0.299540	7.732015e-04
jaccard	0.4	6	64000	64000	301.655000	300.995000	0.299994	0.302089	5.855457e-04
jaccard	0.4	7	128000	128000	402.470000	400.855000	0.300001	0.301467	4.433927e-04
jaccard	0.4	8	256000	256000	525.255000	525.580000	0.300001	0.300341	3.528877e-04
jaccard	0.4	9	512000	512000	687.690000	689.225000	0.300001	0.301360	2.681261e-04
