metric	aMGS_alpha	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	0.25	0	1000	1000	30.370000	30.190000	0.199760	0.207026	5.975705e-03
jaccard	0.25	1	2000	2000	36.800000	36.915000	0.200120	0.210038	3.740311e-03
jaccard	0.25	2	4000	4000	44.915000	44.410000	0.199940	0.212980	3.359162e-03
jaccard	0.25	3	8000	8000	53.190000	52.935000	0.200030	0.204337	2.452799e-03
jaccard	0.25	4	16000	16000	63.510000	63.970000	0.199985	0.203369	1.890192e-03
jaccard	0.25	5	32000	32000	76.765000	76.175000	0.200008	0.203053	2.034056e-03
jaccard	0.25	6	64000	64000	91.810000	92.270000	0.199996	0.204860	1.788081e-03
jaccard	0.25	7	128000	128000	108.495000	108.560000	0.200002	0.208395	1.490553e-03
jaccard	0.25	8	256000	256000	129.545000	129.340000	0.199999	0.202996	1.200510e-03
jaccard	0.25	9	512000	512000	155.240000	155.865000	0.200000	0.200202	1.043385e-03
