metric	aMGS_alpha	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	0.25	0	1000	1000	30.070000	29.810000	0.300390	0.308978	7.646770e-03
jaccard	0.25	1	2000	2000	37.135000	36.915000	0.299968	0.312708	5.535543e-03
jaccard	0.25	2	4000	4000	44.760000	45.180000	0.299968	0.308437	4.619289e-03
jaccard	0.25	3	8000	8000	52.945000	52.935000	0.299968	0.304907	3.485109e-03
jaccard	0.25	4	16000	16000	64.110000	64.055000	0.300020	0.307325	3.278574e-03
jaccard	0.25	5	32000	32000	76.415000	76.560000	0.299994	0.299175	2.534031e-03
jaccard	0.25	6	64000	64000	91.780000	92.230000	0.299994	0.312638	2.439342e-03
jaccard	0.25	7	128000	128000	109.485000	109.040000	0.300001	0.305071	1.888218e-03
jaccard	0.25	8	256000	256000	130.040000	130.645000	0.300001	0.303155	1.391922e-03
jaccard	0.25	9	512000	512000	156.060000	155.810000	0.300001	0.304407	1.343561e-03
