metric	aMGS_alpha	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	0.4	0	1000	1000	56.825000	56.585000	0.100110	0.102357	1.326942e-03
jaccard	0.4	1	2000	2000	74.205000	74.595000	0.100110	0.103672	1.156273e-03
jaccard	0.4	2	4000	4000	99.740000	99.230000	0.099959	0.102640	8.616471e-04
jaccard	0.4	3	8000	8000	131.235000	131.865000	0.100034	0.100670	5.647570e-04
jaccard	0.4	4	16000	16000	172.680000	171.880000	0.099997	0.101468	4.586281e-04
jaccard	0.4	5	32000	32000	232.845000	232.695000	0.099997	0.100523	3.709959e-04
jaccard	0.4	6	64000	64000	301.230000	301.375000	0.099997	0.101856	2.283695e-04
jaccard	0.4	7	128000	128000	401.645000	401.990000	0.100001	0.100794	1.536592e-04
jaccard	0.4	8	256000	256000	527.050000	525.325000	0.099999	0.100538	1.479778e-04
jaccard	0.4	9	512000	512000	687.610000	688.835000	0.100000	0.100376	1.086091e-04
