metric	MinHash_k	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	500	0	1000	1000	500.000000	500.000000	0.399580	0.396220	4.962020e-04
jaccard	500	1	2000	2000	500.000000	500.000000	0.400070	0.402040	5.381593e-04
jaccard	500	2	4000	4000	500.000000	500.000000	0.400070	0.399750	4.132599e-04
jaccard	500	3	8000	8000	500.000000	500.000000	0.399948	0.399410	5.578808e-04
jaccard	500	4	16000	16000	500.000000	500.000000	0.400009	0.401260	4.636580e-04
jaccard	500	5	32000	32000	500.000000	500.000000	0.400009	0.397050	4.359117e-04
jaccard	500	6	64000	64000	500.000000	500.000000	0.399993	0.399170	4.516891e-04
jaccard	500	7	128000	128000	500.000000	500.000000	0.400001	0.400960	4.785579e-04
jaccard	500	8	256000	256000	500.000000	500.000000	0.400001	0.400350	4.895792e-04
jaccard	500	9	512000	512000	500.000000	500.000000	0.399999	0.397190	4.595754e-04
