metric	aMGS_alpha	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
cosine	0.25	0	1000	1000	30.265000	30.230000	0.400000	0.406154	9.223366e-03
cosine	0.25	1	2000	2000	37.130000	36.840000	0.400000	0.413950	8.226224e-03
cosine	0.25	2	4000	4000	44.725000	44.705000	0.400000	0.414575	6.757205e-03
cosine	0.25	3	8000	8000	53.040000	52.820000	0.400000	0.403901	5.759346e-03
cosine	0.25	4	16000	16000	64.070000	64.360000	0.400000	0.405588	4.338809e-03
cosine	0.25	5	32000	32000	76.555000	76.540000	0.400000	0.401727	4.385139e-03
cosine	0.25	6	64000	64000	91.960000	91.795000	0.400000	0.407504	3.344915e-03
cosine	0.25	7	128000	128000	108.760000	109.120000	0.400000	0.407613	2.817883e-03
cosine	0.25	8	256000	256000	130.435000	129.775000	0.400000	0.400036	1.848743e-03
cosine	0.25	9	512000	512000	155.540000	156.110000	0.400000	0.402495	1.988576e-03
