metric	k	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	100	0	1000	1000	425.488000	425.116000	0.300390	0.301030	2.832402e-04
jaccard	100	1	2000	2000	525.106000	525.516000	0.299968	0.299981	3.000149e-04
jaccard	100	2	4000	4000	624.482000	624.494000	0.299968	0.300335	2.698312e-04
jaccard	100	3	8000	8000	724.750000	725.006000	0.299968	0.300658	2.731461e-04
jaccard	100	4	16000	16000	825.704000	825.616000	0.300020	0.300867	2.250044e-04
jaccard	100	5	32000	32000	925.288000	925.168000	0.299994	0.299395	2.215216e-04
jaccard	100	6	64000	64000	1025.108000	1025.372000	0.299994	0.301009	1.762432e-04
jaccard	100	7	128000	128000	1125.572000	1125.386000	0.300001	0.300560	1.685537e-04
jaccard	100	8	256000	256000	1225.322000	1224.666000	0.300001	0.299939	1.636514e-04
jaccard	100	9	512000	512000	1325.398000	1324.950000	0.300001	0.300135	1.573496e-04
