metric	aMGS_alpha	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	0.4	0	1000	1000	56.710000	56.610000	0.199760	0.201778	2.826809e-03
jaccard	0.4	1	2000	2000	74.445000	74.195000	0.200120	0.201530	1.978068e-03
jaccard	0.4	2	4000	4000	100.170000	99.905000	0.199940	0.202339	1.369325e-03
jaccard	0.4	3	8000	8000	131.195000	130.735000	0.200030	0.204041	9.247139e-04
jaccard	0.4	4	16000	16000	172.625000	172.705000	0.199985	0.201076	8.729563e-04
jaccard	0.4	5	32000	32000	233.360000	233.440000	0.200008	0.201253	6.192339e-04
jaccard	0.4	6	64000	64000	301.975000	301.435000	0.199996	0.200379	5.140429e-04
jaccard	0.4	7	128000	128000	402.345000	401.350000	0.200002	0.201890	3.188004e-04
jaccard	0.4	8	256000	256000	525.975000	525.315000	0.199999	0.199990	2.516767e-04
jaccard	0.4	9	512000	512000	688.305000	688.225000	0.200000	0.201171	2.161460e-04
