metric	aMGS_alpha	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
cosine	0.25	0	1000	1000	30.230000	30.225000	0.300000	0.311878	8.647984e-03
cosine	0.25	1	2000	2000	37.045000	36.750000	0.300000	0.314493	8.329913e-03
cosine	0.25	2	4000	4000	44.440000	44.985000	0.300000	0.313226	6.540125e-03
cosine	0.25	3	8000	8000	53.475000	53.480000	0.300000	0.300576	5.204434e-03
cosine	0.25	4	16000	16000	64.035000	64.215000	0.300000	0.307086	4.956656e-03
cosine	0.25	5	32000	32000	76.610000	76.780000	0.300000	0.299973	3.612076e-03
cosine	0.25	6	64000	64000	91.840000	92.135000	0.300000	0.308005	3.448255e-03
cosine	0.25	7	128000	128000	108.785000	108.730000	0.300000	0.305952	2.584535e-03
cosine	0.25	8	256000	256000	129.960000	130.495000	0.300000	0.302954	1.994520e-03
cosine	0.25	9	512000	512000	155.895000	155.125000	0.300000	0.302504	1.935849e-03
