metric	FMH_scale_factor	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	0.001	0	1000	1000	0.910000	0.990000	0.300390	0.453929	2.164033e-01
jaccard	0.001	1	2000	2000	2.090000	2.030000	0.299968	0.342048	1.026725e-01
jaccard	0.001	2	4000	4000	4.015000	3.960000	0.299968	0.290406	4.272343e-02
jaccard	0.001	3	8000	8000	7.860000	7.875000	0.299968	0.295878	1.971991e-02
jaccard	0.001	4	16000	16000	15.880000	15.495000	0.300020	0.294291	8.993623e-03
jaccard	0.001	5	32000	32000	32.355000	31.945000	0.299994	0.294061	4.283334e-03
jaccard	0.001	6	64000	64000	64.930000	64.950000	0.299994	0.305805	2.010834e-03
jaccard	0.001	7	128000	128000	128.235000	128.360000	0.300001	0.298383	9.374881e-04
jaccard	0.001	8	256000	256000	255.240000	254.975000	0.300001	0.297647	5.178876e-04
jaccard	0.001	9	512000	512000	512.610000	512.140000	0.300001	0.300105	2.618852e-04
