metric	FMH_scale_factor	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	0.001	0	1000	1000	1.080000	1.110000	0.100110	0.185512	1.361398e-01
jaccard	0.001	1	2000	2000	2.060000	2.030000	0.100110	0.173107	8.412780e-02
jaccard	0.001	2	4000	4000	4.075000	4.025000	0.099959	0.084510	1.103247e-02
jaccard	0.001	3	8000	8000	7.715000	7.805000	0.100034	0.087127	6.598097e-03
jaccard	0.001	4	16000	16000	15.550000	15.575000	0.099997	0.098428	2.998120e-03
jaccard	0.001	5	32000	32000	31.465000	31.910000	0.099997	0.097010	1.395972e-03
jaccard	0.001	6	64000	64000	65.490000	64.725000	0.099997	0.103406	8.834902e-04
jaccard	0.001	7	128000	128000	126.715000	127.255000	0.100001	0.099806	3.570814e-04
jaccard	0.001	8	256000	256000	255.780000	255.285000	0.099999	0.100082	1.900105e-04
jaccard	0.001	9	512000	512000	509.395000	513.370000	0.100000	0.099924	9.756305e-05
