metric	aMGS_alpha	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	0.4	0	1000	1000	56.510000	57.065000	0.500375	0.504095	3.579766e-03
jaccard	0.4	1	2000	2000	73.920000	74.610000	0.499813	0.509438	3.151169e-03
jaccard	0.4	2	4000	4000	100.185000	99.935000	0.500094	0.507387	2.045875e-03
jaccard	0.4	3	8000	8000	131.730000	131.040000	0.499953	0.505675	1.703487e-03
jaccard	0.4	4	16000	16000	172.100000	172.460000	0.500023	0.502272	1.525010e-03
jaccard	0.4	5	32000	32000	233.065000	232.405000	0.499988	0.500986	8.153791e-04
jaccard	0.4	6	64000	64000	301.170000	301.290000	0.500006	0.504703	7.627879e-04
jaccard	0.4	7	128000	128000	401.100000	402.235000	0.499997	0.502840	5.466826e-04
jaccard	0.4	8	256000	256000	523.955000	524.720000	0.500001	0.500810	3.854603e-04
jaccard	0.4	9	512000	512000	687.305000	687.385000	0.499999	0.501191	3.479823e-04
