metric	MinHash_k	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	500	0	1000	1000	500.000000	500.000000	0.100110	0.099620	1.826557e-04
jaccard	500	1	2000	2000	500.000000	500.000000	0.100110	0.101400	1.756641e-04
jaccard	500	2	4000	4000	500.000000	500.000000	0.099959	0.098810	1.424835e-04
jaccard	500	3	8000	8000	500.000000	500.000000	0.100034	0.099040	1.729872e-04
jaccard	500	4	16000	16000	500.000000	500.000000	0.099997	0.100740	2.036451e-04
jaccard	500	5	32000	32000	500.000000	500.000000	0.099997	0.100570	1.873039e-04
jaccard	500	6	64000	64000	500.000000	500.000000	0.099997	0.098590	1.815703e-04
