metric	FMH_scale_factor	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
cosine	0.001	0	1000	1000	0.995000	1.010000	0.400000	0.801236	2.666500e-01
cosine	0.001	1	2000	2000	2.020000	2.075000	0.400000	0.557878	1.533134e-01
cosine	0.001	2	4000	4000	3.800000	4.130000	0.400000	0.394966	7.385347e-02
cosine	0.001	3	8000	8000	7.825000	8.165000	0.400000	0.370827	2.589684e-02
cosine	0.001	4	16000	16000	15.840000	15.725000	0.400000	0.386089	1.313401e-02
cosine	0.001	5	32000	32000	32.125000	31.800000	0.400000	0.392999	6.468217e-03
cosine	0.001	6	64000	64000	64.705000	64.950000	0.400000	0.405175	3.224900e-03
cosine	0.001	7	128000	128000	128.025000	128.290000	0.400000	0.400392	1.443717e-03
cosine	0.001	8	256000	256000	252.935000	254.490000	0.400000	0.400142	6.447295e-04
cosine	0.001	9	512000	512000	512.790000	511.230000	0.400000	0.399680	3.943804e-04
