metric	MinHash_k	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	500	0	1000	1000	500.000000	500.000000	0.300390	0.297820	4.112931e-04
jaccard	500	1	2000	2000	500.000000	500.000000	0.299968	0.301670	4.595296e-04
jaccard	500	2	4000	4000	500.000000	500.000000	0.299968	0.300690	4.109859e-04
jaccard	500	3	8000	8000	500.000000	500.000000	0.299968	0.301090	4.211719e-04
jaccard	500	4	16000	16000	500.000000	500.000000	0.300020	0.302010	4.858988e-04
jaccard	500	5	32000	32000	500.000000	500.000000	0.299994	0.298950	3.930072e-04
jaccard	500	6	64000	64000	500.000000	500.000000	0.299994	0.298250	3.819987e-04
jaccard	500	7	128000	128000	500.000000	500.000000	0.300001	0.300090	4.820199e-04
jaccard	500	8	256000	256000	500.000000	500.000000	0.300001	0.301060	3.498389e-04
jaccard	500	9	512000	512000	500.000000	500.000000	0.300001	0.300310	3.762997e-04
