parameter_alpha,pair_id,seed,A_size,B_size,as_sketch_size_A,as_sketch_size_B,mgh_sketch_size_A,mgh_sketch_size_B,true_jaccard,jaccard_as,jaccard_mgh
0.4,1,59,100000,100000,325,134,391,376,0.5,0.5625,0.48448687350835323
0.4,1,60,100000,100000,233,155,350,347,0.5,0.5396039603960396,0.5078947368421053
0.4,1,61,100000,100000,161,131,355,355,0.5,0.47540983606557374,0.5036855036855037
0.4,1,62,100000,100000,138,241,383,384,0.5,0.5444444444444444,0.5447941888619855
0.4,1,63,100000,100000,328,60,359,356,0.5,0.5789473684210527,0.5025510204081632
0.4,1,64,100000,100000,277,230,377,372,0.5,0.5098039215686274,0.49014778325123154
0.4,1,65,100000,100000,107,204,357,365,0.5,0.4928571428571429,0.5298507462686567
0.4,1,66,100000,100000,258,221,369,370,0.5,0.5204081632653061,0.5171568627450981
0.4,1,67,100000,100000,104,177,371,359,0.5,0.5748031496062992,0.5413533834586466
0.4,1,68,100000,100000,136,54,359,361,0.5,0.6060606060606061,0.5050505050505051
0.4,1,69,100000,100000,120,216,378,370,0.5,0.5460526315789473,0.49135802469135803
0.4,1,70,100000,100000,344,126,329,329,0.5,0.4619883040935672,0.46808510638297873
0.4,1,71,100000,100000,140,248,363,373,0.5,0.5251396648044693,0.47029702970297027
0.4,1,72,100000,100000,224,222,361,370,0.5,0.5104166666666666,0.5037783375314862
0.4,1,73,100000,100000,105,365,381,366,0.5,0.5151515151515151,0.4963325183374083
0.4,1,74,100000,100000,197,53,370,389,0.5,0.6612903225806451,0.5745721271393643
0.4,1,75,100000,100000,249,79,387,396,0.5,0.5591397849462365,0.5104408352668214
0.4,1,76,100000,100000,46,223,371,372,0.5,0.4745762711864407,0.5121951219512195
0.4,1,77,100000,100000,89,96,366,361,0.5,0.4915254237288136,0.49379652605459057
0.4,1,78,100000,100000,136,161,362,371,0.5,0.4734042553191489,0.5112781954887218
0.4,1,79,100000,100000,17,68,348,358,0.5,0.625,0.5189873417721519
0.4,1,80,100000,100000,217,188,364,345,0.5,0.5116279069767442,0.4948453608247423
0.4,1,81,100000,100000,217,70,359,352,0.5,0.5102040816326531,0.49340369393139843
0.4,1,82,100000,100000,491,251,364,362,0.5,0.543859649122807,0.5
0.4,1,83,100000,100000,247,333,351,363,0.5,0.4633431085043988,0.49877750611246946
0.4,1,84,100000,100000,127,220,373,369,0.5,0.5178571428571429,0.5036319612590799
0.4,1,85,100000,100000,62,124,348,360,0.5,0.5116279069767442,0.5202020202020202
0.4,1,86,100000,100000,107,174,355,359,0.5,0.4583333333333333,0.47101449275362317
0.4,1,87,100000,100000,175,369,387,375,0.5,0.4955357142857143,0.5165094339622641
0.4,1,88,100000,100000,67,223,382,378,0.5,0.525,0.5059952038369304
0.4,1,89,100000,100000,71,57,367,373,0.5,0.47368421052631576,0.4606205250596659
0.4,1,90,100000,100000,9,171,370,377,0.5,0.5833333333333334,0.4950980392156863
0.4,1,91,100000,100000,60,123,387,374,0.5,0.6428571428571429,0.539568345323741
0.4,1,92,100000,100000,208,194,360,364,0.5,0.5,0.48
0.4,1,93,100000,100000,281,234,387,368,0.5,0.49696969696969695,0.49271844660194175
0.4,1,94,100000,100000,37,127,364,364,0.5,0.4444444444444444,0.49877750611246946
0.4,1,95,100000,100000,115,88,373,367,0.5,0.48360655737704916,0.4975124378109453
0.4,1,96,100000,100000,136,26,358,349,0.5,0.46875,0.47619047619047616
0.4,1,97,100000,100000,103,172,374,371,0.5,0.45985401459854014,0.4730392156862745
0.4,1,98,100000,100000,84,151,367,360,0.5,0.4642857142857143,0.48157248157248156
0.4,1,99,100000,100000,190,352,369,372,0.5,0.515748031496063,0.49144254278728605
0.4,2,0,100000,100000,249,133,368,385,0.5,0.5506329113924051,0.543424317617866
0.4,2,1,100000,100000,155,61,362,371,0.5,0.5256410256410257,0.4911392405063291
0.4,2,2,100000,100000,344,83,364,362,0.5,0.5648148148148148,0.5167958656330749
0.4,2,3,100000,100000,123,137,368,362,0.5,0.5214723926380368,0.5194174757281553
0.4,2,4,100000,100000,93,244,364,373,0.5,0.4626865671641791,0.4601990049751244
0.4,2,5,100000,100000,273,94,361,355,0.5,0.4846153846153846,0.48258706467661694
0.4,2,6,100000,100000,45,85,365,369,0.5,0.48333333333333334,0.4925373134328358
0.4,2,7,100000,100000,103,124,361,369,0.5,0.48201438848920863,0.5152284263959391
0.4,2,8,100000,100000,12,279,382,361,0.5,0.5333333333333333,0.48426150121065376
0.4,2,9,100000,100000,136,100,354,366,0.5,0.4925373134328358,0.4898989898989899
0.4,2,10,100000,100000,31,75,379,383,0.5,0.4418604651162791,0.505938242280285
0.4,2,11,100000,100000,614,149,395,383,0.5,0.5309278350515464,0.54292343387471
0.4,2,12,100000,100000,212,22,378,360,0.5,0.625,0.4655581947743468
0.4,2,13,100000,100000,208,104,384,372,0.5,0.4645161290322581,0.4844124700239808
0.4,2,14,100000,100000,195,54,355,351,0.5,0.547945205479452,0.5498721227621484
0.4,2,15,100000,100000,241,297,390,378,0.5,0.5,0.4831730769230769
0.4,2,16,100000,100000,65,37,374,380,0.5,0.5416666666666666,0.5346534653465347
0.4,2,17,100000,100000,165,254,363,364,0.5,0.45535714285714285,0.4811083123425693
0.4,2,18,100000,100000,274,64,357,356,0.5,0.6153846153846154,0.5505050505050505
0.4,2,19,100000,100000,161,24,348,356,0.5,0.6296296296296297,0.4806201550387597
0.4,2,20,100000,100000,38,320,333,334,0.5,0.3695652173913043,0.47480106100795755
0.4,2,21,100000,100000,54,184,356,362,0.5,0.4875,0.4792176039119804
0.4,2,22,100000,100000,126,198,387,387,0.5,0.4682080924855491,0.4883720930232558
0.4,2,23,100000,100000,288,238,350,362,0.5,0.5131578947368421,0.5272277227722773
0.4,2,24,100000,100000,182,124,368,360,0.5,0.48823529411764705,0.5012658227848101
0.4,2,25,100000,100000,385,151,345,348,0.5,0.49746192893401014,0.4645669291338583
0.4,2,26,100000,100000,193,281,361,375,0.5,0.5112781954887218,0.43825665859564167
0.4,2,27,100000,100000,132,263,390,394,0.5,0.5459770114942529,0.5420560747663551
0.4,2,28,100000,100000,40,420,362,371,0.5,0.45454545454545453,0.48872180451127817
0.4,2,29,100000,100000,61,89,366,377,0.5,0.4270833333333333,0.511002444987775
0.4,2,30,100000,100000,146,23,362,365,0.5,0.625,0.5076530612244898
0.4,2,31,100000,100000,113,171,377,379,0.5,0.43037974683544306,0.4473684210526316
0.4,2,32,100000,100000,219,358,390,380,0.5,0.5160142348754448,0.533175355450237
0.4,2,33,100000,100000,267,85,347,362,0.5,0.46017699115044247,0.4811083123425693
0.4,2,34,100000,100000,104,291,351,349,0.5,0.5333333333333333,0.4987593052109181
0.4,2,35,100000,100000,254,58,366,371,0.5,0.5131578947368421,0.5146341463414634
0.4,2,36,100000,100000,190,121,352,356,0.5,0.48717948717948717,0.5193798449612403
0.4,2,37,100000,100000,368,47,364,365,0.5,0.5172413793103449,0.5304568527918782
0.4,2,38,100000,100000,109,245,384,386,0.5,0.45098039215686275,0.4541176470588235
0.4,2,39,100000,100000,145,268,364,377,0.5,0.49029126213592233,0.4782608695652174
0.4,2,40,100000,100000,259,51,381,383,0.5,0.5454545454545454,0.4988066825775656
0.4,2,41,100000,100000,61,194,351,331,0.5,0.4567901234567901,0.48578811369509045
0.4,2,42,100000,100000,79,168,363,365,0.5,0.4144144144144144,0.42610837438423643
0.4,2,43,100000,100000,80,128,365,380,0.5,0.5357142857142857,0.5186104218362283
0.4,2,44,100000,100000,415,108,381,387,0.5,0.5144927536231884,0.5059665871121718
0.4,2,45,100000,100000,48,50,363,370,0.5,0.5666666666666667,0.5100502512562815
0.4,2,46,100000,100000,64,139,369,369,0.5,0.5974025974025974,0.5139949109414759
0.4,2,47,100000,100000,164,32,372,359,0.5,0.5777777777777777,0.49144254278728605
0.4,2,48,100000,100000,212,235,386,388,0.5,0.5425531914893617,0.5598086124401914
0.4,2,49,100000,100000,299,161,381,370,0.5,0.5534883720930233,0.5265700483091788
0.4,2,50,100000,100000,86,189,350,342,0.5,0.48672566371681414,0.48404255319148937
0.4,2,51,100000,100000,132,140,387,372,0.5,0.5370370370370371,0.472289156626506
0.4,2,52,100000,100000,102,260,369,365,0.5,0.48854961832061067,0.5288220551378446
0.4,2,53,100000,100000,119,293,369,386,0.5,0.5625,0.5331695331695332
0.4,2,54,100000,100000,202,138,371,370,0.5,0.5168539325842697,0.4937655860349127
0.4,2,55,100000,100000,192,24,366,380,0.5,0.3870967741935484,0.46618357487922707
0.4,2,56,100000,100000,48,119,382,369,0.5,0.37681159420289856,0.4794188861985472
0.4,2,57,100000,100000,225,79,372,372,0.5,0.5092592592592593,0.5012224938875306
0.4,2,58,100000,100000,257,135,364,346,0.5,0.5133689839572193,0.5025641025641026
0.4,2,59,100000,100000,142,90,377,368,0.5,0.5,0.508557457212714
0.4,2,60,100000,100000,216,98,366,363,0.5,0.5916666666666667,0.5675
0.4,2,61,100000,100000,102,62,392,361,0.5,0.5106382978723404,0.4721549636803874
0.4,2,62,100000,100000,227,112,366,360,0.5,0.47058823529411764,0.5025252525252525
0.4,2,63,100000,100000,124,114,379,367,0.5,0.6180555555555556,0.5176767676767676
0.4,2,64,100000,100000,195,42,366,352,0.5,0.5,0.48756218905472637
0.4,2,65,100000,100000,355,117,373,357,0.5,0.46706586826347307,0.47103274559193953
0.4,2,66,100000,100000,231,166,368,377,0.5,0.5046296296296297,0.4562647754137116
0.4,2,67,100000,100000,175,48,354,358,0.5,0.5396825396825397,0.5269922879177378
0.4,2,68,100000,100000,229,138,352,361,0.5,0.4972972972972973,0.5219512195121951
0.4,2,69,100000,100000,91,235,375,381,0.5,0.4523809523809524,0.4655581947743468
0.4,2,70,100000,100000,74,137,348,366,0.5,0.5096153846153846,0.5151515151515151
0.4,2,71,100000,100000,144,480,377,383,0.5,0.517948717948718,0.5072463768115942
0.4,2,72,100000,100000,96,316,374,362,0.5,0.5206611570247934,0.5218446601941747
0.4,2,73,100000,100000,164,316,381,371,0.5,0.5539906103286385,0.5036674816625917
0.4,2,74,100000,100000,322,23,377,384,0.5,0.5666666666666667,0.5073170731707317
0.4,2,75,100000,100000,214,128,377,365,0.5,0.4692737430167598,0.5135802469135803
0.4,2,76,100000,100000,98,179,350,348,0.5,0.5037593984962406,0.49875311720698257
0.4,2,77,100000,100000,216,111,365,376,0.5,0.5106382978723404,0.5
0.4,2,78,100000,100000,72,112,354,351,0.5,0.4536082474226804,0.4895833333333333
0.4,2,79,100000,100000,439,141,363,361,0.5,0.5586592178770949,0.5130208333333334
0.4,2,80,100000,100000,69,33,371,363,0.5,0.5,0.4949748743718593
0.4,2,81,100000,100000,82,104,333,344,0.5,0.42016806722689076,0.47244094488188976
0.4,2,82,100000,100000,45,272,386,375,0.5,0.48333333333333334,0.48668280871670705
0.4,2,83,100000,100000,198,243,376,377,0.5,0.5294117647058824,0.5528255528255528
0.4,2,84,100000,100000,79,235,370,374,0.5,0.5,0.4323671497584541
0.4,2,85,100000,100000,72,112,377,361,0.5,0.45161290322580644,0.47029702970297027
0.4,2,86,100000,100000,49,507,361,371,0.5,0.5396825396825397,0.48370927318295737
0.4,2,87,100000,100000,202,213,357,359,0.5,0.4509090909090909,0.48081841432225064
0.4,2,88,100000,100000,157,376,386,367,0.5,0.4782608695652174,0.4819277108433735
0.4,2,89,100000,100000,112,163,366,376,0.5,0.4294478527607362,0.4744525547445255
0.4,2,90,100000,100000,295,327,355,357,0.5,0.48711340206185566,0.5012468827930174
0.4,2,91,100000,100000,422,167,378,369,0.5,0.504424778761062,0.5121359223300971
0.4,2,92,100000,100000,221,175,398,392,0.5,0.502092050209205,0.48764044943820223
0.4,2,93,100000,100000,187,43,387,387,0.5,0.6206896551724138,0.5023148148148148
0.4,2,94,100000,100000,130,60,356,337,0.5,0.6103896103896104,0.5174129353233831
0.4,2,95,100000,100000,181,342,345,360,0.5,0.4745098039215686,0.4543147208121827
0.4,2,96,100000,100000,125,178,375,359,0.5,0.5414012738853503,0.47002398081534774
0.4,2,97,100000,100000,229,173,362,373,0.5,0.5067264573991032,0.49627791563275436
0.4,2,98,100000,100000,36,156,366,360,0.5,0.6744186046511628,0.5135802469135803
0.4,2,99,100000,100000,517,284,383,395,0.5,0.5552407932011332,0.5402843601895735
0.4,3,0,100000,100000,209,179,361,377,0.5,0.5772727272727273,0.5594936708860759
0.4,3,1,100000,100000,224,34,372,376,0.5,0.5581395348837209,0.5339805825242718
0.4,3,2,100000,100000,102,26,355,351,0.5,0.43902439024390244,0.5074626865671642
0.4,3,3,100000,100000,68,354,379,376,0.5,0.5662650602409639,0.5203836930455635
0.4,3,4,100000,100000,105,28,358,346,0.5,0.475,0.49746192893401014
0.4,3,5,100000,100000,219,107,395,395,0.5,0.6046511627906976,0.5118483412322274
0.4,3,6,100000,100000,163,43,369,379,0.5,0.6666666666666666,0.5282555282555282
0.4,3,7,100000,100000,180,101,367,374,0.5,0.4621212121212121,0.4742014742014742
0.4,3,8,100000,100000,40,107,374,374,0.5,0.5306122448979592,0.49144254278728605
0.4,3,9,100000,100000,266,90,381,376,0.5,0.5163934426229508,0.5601965601965602
0.4,3,10,100000,100000,423,191,369,375,0.5,0.5019762845849802,0.5147783251231527
0.4,3,11,100000,100000,230,123,370,379,0.5,0.4968152866242038,0.48402948402948404
0.4,3,12,100000,100000,182,149,384,388,0.5,0.5792349726775956,0.4988009592326139
0.4,3,13,100000,100000,278,222,352,363,0.5,0.45791245791245794,0.47869674185463656
0.4,3,14,100000,100000,183,116,355,371,0.5,0.5103448275862069,0.5242718446601942
0.4,3,15,100000,100000,200,384,381,357,0.5,0.5060728744939271,0.49261083743842365
0.4,3,16,100000,100000,236,42,358,374,0.5,0.48333333333333334,0.5147058823529411
