parameter_k,pair_id,seed,A_size,B_size,as_sketch_size_A,as_sketch_size_B,mgh_sketch_size_A,mgh_sketch_size_B,true_jaccard,jaccard_as,jaccard_mgh
70,1,47,100000,100000,555,580,793,783,0.5,0.5206611570247934,0.5103785103785103
70,1,48,100000,100000,595,600,808,814,0.5,0.5366492146596858,0.5154394299287411
70,1,49,100000,100000,586,609,784,780,0.5,0.5096277278562259,0.5036945812807881
70,1,50,100000,100000,582,588,809,808,0.5,0.5174731182795699,0.5005988023952096
70,1,51,100000,100000,609,581,794,783,0.5,0.5071335927367056,0.5197044334975369
70,1,52,100000,100000,574,593,801,800,0.5,0.4921259842519685,0.5191846522781774
70,1,53,100000,100000,535,601,788,804,0.5,0.5132496513249651,0.5139393939393939
70,1,54,100000,100000,582,596,809,809,0.5,0.5135834411384217,0.5501193317422435
70,1,55,100000,100000,589,591,787,805,0.5,0.49282920469361147,0.501813784764208
70,1,56,100000,100000,560,596,792,802,0.5,0.47174770039421815,0.4963768115942029
70,1,57,100000,100000,563,544,776,787,0.5,0.46195652173913043,0.44390243902439025
70,1,58,100000,100000,560,592,802,796,0.5,0.5217983651226158,0.5199516324062878
70,1,59,100000,100000,535,565,810,807,0.5,0.4965229485396384,0.5269461077844312
70,1,60,100000,100000,574,588,794,801,0.5,0.5078740157480315,0.5114873035066505
70,1,61,100000,100000,613,556,804,800,0.5,0.5109289617486339,0.5137724550898204
70,1,62,100000,100000,567,561,793,785,0.5,0.5115020297699594,0.46041412911084045
70,1,63,100000,100000,591,566,795,785,0.5,0.49538866930171277,0.5146341463414634
70,1,64,100000,100000,559,571,791,793,0.5,0.5154494382022472,0.4938875305623472
70,1,65,100000,100000,539,573,790,787,0.5,0.5282485875706214,0.5129151291512916
70,1,66,100000,100000,572,594,811,802,0.5,0.5143603133159269,0.4987980769230769
70,1,67,100000,100000,613,569,809,815,0.5,0.5180722891566265,0.5130641330166271
70,1,68,100000,100000,552,545,821,807,0.5,0.509090909090909,0.4982373678025852
70,1,69,100000,100000,570,594,772,794,0.5,0.4934895833333333,0.46921182266009853
70,1,70,100000,100000,553,581,781,775,0.5,0.46584699453551914,0.5006195786864932
