metric	aMGS_alpha	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
cosine	0.4	0	1000	1000	56.345000	56.835000	0.500000	0.504380	4.192942e-03
cosine	0.4	1	2000	2000	74.915000	74.420000	0.500000	0.505566	2.705530e-03
cosine	0.4	2	4000	4000	100.145000	100.165000	0.500000	0.503659	2.186722e-03
cosine	0.4	3	8000	8000	131.135000	131.310000	0.500000	0.503982	1.829161e-03
cosine	0.4	4	16000	16000	172.760000	172.795000	0.500000	0.502978	1.452421e-03
cosine	0.4	5	32000	32000	232.645000	232.375000	0.500000	0.501053	9.761513e-04
cosine	0.4	6	64000	64000	301.255000	301.590000	0.500000	0.501256	6.674110e-04
cosine	0.4	7	128000	128000	401.755000	400.660000	0.500000	0.503404	6.150172e-04
cosine	0.4	8	256000	256000	525.785000	527.730000	0.500000	0.499841	4.301056e-04
cosine	0.4	9	512000	512000	688.335000	689.200000	0.500000	0.500998	3.376560e-04
