metric	FMH_scale_factor	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	0.001	0	1000	1000	0.920000	0.940000	0.399580	0.580417	2.196336e-01
jaccard	0.001	1	2000	2000	2.070000	2.060000	0.400070	0.450911	1.108274e-01
jaccard	0.001	2	4000	4000	3.945000	4.110000	0.400070	0.404651	6.234917e-02
jaccard	0.001	3	8000	8000	7.820000	7.955000	0.399948	0.385299	2.124541e-02
jaccard	0.001	4	16000	16000	16.170000	15.895000	0.400009	0.395294	1.076299e-02
jaccard	0.001	5	32000	32000	32.200000	31.645000	0.400009	0.395421	5.214470e-03
jaccard	0.001	6	64000	64000	65.025000	65.560000	0.399993	0.406709	2.803658e-03
jaccard	0.001	7	128000	128000	128.450000	127.925000	0.400001	0.397190	1.300816e-03
jaccard	0.001	8	256000	256000	254.215000	254.415000	0.400001	0.397392	7.079098e-04
jaccard	0.001	9	512000	512000	511.265000	510.150000	0.399999	0.400303	3.621668e-04
