metric	FMH_scale_factor	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	0.001	0	1000	1000	0.980000	1.065000	0.500375	0.638583	1.839031e-01
jaccard	0.001	1	2000	2000	1.995000	2.015000	0.499813	0.565274	1.106220e-01
jaccard	0.001	2	4000	4000	4.080000	4.020000	0.500094	0.486920	7.457754e-02
jaccard	0.001	3	8000	8000	7.725000	7.780000	0.499953	0.489984	3.225057e-02
jaccard	0.001	4	16000	16000	15.690000	15.575000	0.500023	0.498985	9.512064e-03
jaccard	0.001	5	32000	32000	31.530000	31.770000	0.499988	0.497608	6.043210e-03
jaccard	0.001	6	64000	64000	65.310000	64.675000	0.500006	0.504348	3.866333e-03
jaccard	0.001	7	128000	128000	127.905000	127.745000	0.499997	0.501834	1.791409e-03
jaccard	0.001	8	256000	256000	253.620000	254.420000	0.500001	0.496553	7.770038e-04
jaccard	0.001	9	512000	512000	511.130000	511.065000	0.499999	0.499725	4.204676e-04
