metric	FMH_scale_factor	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
cosine	0.001	0	1000	1000	0.960000	0.980000	0.300000	0.743908	3.455994e-01
cosine	0.001	1	2000	2000	1.925000	2.105000	0.300000	0.510293	1.882064e-01
cosine	0.001	2	4000	4000	3.970000	3.870000	0.300000	0.325025	7.659099e-02
cosine	0.001	3	8000	8000	7.610000	8.045000	0.300000	0.285723	2.507578e-02
cosine	0.001	4	16000	16000	15.665000	16.165000	0.300000	0.285630	1.200180e-02
cosine	0.001	5	32000	32000	31.395000	32.270000	0.300000	0.294615	5.127907e-03
cosine	0.001	6	64000	64000	65.245000	64.480000	0.300000	0.306217	3.298114e-03
cosine	0.001	7	128000	128000	128.420000	128.110000	0.300000	0.298227	1.293016e-03
cosine	0.001	8	256000	256000	255.490000	256.340000	0.300000	0.297618	6.510871e-04
cosine	0.001	9	512000	512000	511.050000	511.785000	0.300000	0.300307	3.613005e-04
