metric	k	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
cosine	100	0	1000	1000	425.924000	424.851000	0.400000	0.400882	4.043741e-04
cosine	100	1	2000	2000	525.060000	525.308000	0.400000	0.400607	4.571902e-04
cosine	100	2	4000	4000	624.575000	624.912000	0.400000	0.400557	3.612183e-04
cosine	100	3	8000	8000	724.936000	725.318000	0.400000	0.401105	3.732324e-04
cosine	100	4	16000	16000	825.257000	825.963000	0.400000	0.400724	3.167931e-04
cosine	100	5	32000	32000	924.838000	925.375000	0.400000	0.400889	3.056801e-04
cosine	100	6	64000	64000	1025.411000	1025.473000	0.400000	0.400190	2.417867e-04
cosine	100	7	128000	128000	1125.257000	1125.222000	0.400000	0.400961	2.512020e-04
cosine	100	8	256000	256000	1224.750000	1224.825000	0.400000	0.399996	2.414106e-04
cosine	100	9	512000	512000	1325.025000	1325.004000	0.400000	0.400518	2.125358e-04
