metric	aMGS_alpha	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	0.25	0	1000	1000	30.265000	30.250000	0.500375	0.510669	7.509322e-03
jaccard	0.25	1	2000	2000	36.930000	36.940000	0.499813	0.521658	7.268286e-03
jaccard	0.25	2	4000	4000	45.110000	45.015000	0.500094	0.512781	5.945050e-03
jaccard	0.25	3	8000	8000	52.860000	53.165000	0.499953	0.504893	4.819172e-03
jaccard	0.25	4	16000	16000	63.805000	64.220000	0.500023	0.507883	4.238837e-03
jaccard	0.25	5	32000	32000	76.490000	76.610000	0.499988	0.501679	3.056023e-03
jaccard	0.25	6	64000	64000	92.155000	92.320000	0.500006	0.509283	2.719331e-03
jaccard	0.25	7	128000	128000	109.625000	109.365000	0.499997	0.505123	1.988844e-03
jaccard	0.25	8	256000	256000	130.630000	129.425000	0.500001	0.502351	1.826216e-03
jaccard	0.25	9	512000	512000	155.855000	155.785000	0.499999	0.501318	1.553203e-03
