metric	FMH_scale_factor	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
cosine	0.001	0	1000	1000	0.980000	0.940000	0.100000	0.706871	5.554592e-01
cosine	0.001	1	2000	2000	2.120000	1.995000	0.100000	0.338401	2.325559e-01
cosine	0.001	2	4000	4000	3.935000	3.920000	0.100000	0.117728	5.029221e-02
cosine	0.001	3	8000	8000	8.160000	7.935000	0.100000	0.087956	1.035368e-02
cosine	0.001	4	16000	16000	15.785000	15.960000	0.100000	0.095650	4.291697e-03
cosine	0.001	5	32000	32000	31.620000	30.910000	0.100000	0.094618	3.011219e-03
cosine	0.001	6	64000	64000	64.415000	64.430000	0.100000	0.103584	1.607591e-03
cosine	0.001	7	128000	128000	126.975000	127.280000	0.100000	0.097746	7.391864e-04
cosine	0.001	8	256000	256000	255.330000	254.670000	0.100000	0.100071	3.058243e-04
cosine	0.001	9	512000	512000	510.565000	511.870000	0.100000	0.099947	1.678918e-04
