parameter_k,pair_id,permute_id,seed,A_size,B_size,as_sketch_size_A,as_sketch_size_B,mgh_sketch_size_A,mgh_sketch_size_B,true_jaccard,jaccard_as,jaccard_mgh
70,0,78,42,100000,100000,594,532,800,802,0.5,0.4886685552407932,0.4844124700239808
70,0,79,42,100000,100000,572,597,800,802,0.5,0.49226804123711343,0.4844124700239808
70,0,80,42,100000,100000,575,556,800,802,0.5,0.49182561307901906,0.4844124700239808
70,0,81,42,100000,100000,575,590,800,802,0.5,0.4935897435897436,0.4844124700239808
70,0,82,42,100000,100000,536,605,800,802,0.5,0.49175824175824173,0.4844124700239808
70,0,83,42,100000,100000,576,590,800,802,0.5,0.4935897435897436,0.4844124700239808
70,0,84,42,100000,100000,575,584,800,802,0.5,0.49159120310478654,0.4844124700239808
70,0,85,42,100000,100000,609,546,800,802,0.5,0.4903314917127072,0.4844124700239808
70,0,86,42,100000,100000,554,641,800,802,0.5,0.49267643142476697,0.4844124700239808
70,0,87,42,100000,100000,558,580,800,802,0.5,0.4921052631578947,0.4844124700239808
70,0,88,42,100000,100000,547,579,800,802,0.5,0.4932795698924731,0.4844124700239808
70,0,89,42,100000,100000,590,557,800,802,0.5,0.4925170068027211,0.4844124700239808
70,0,90,42,100000,100000,566,561,800,802,0.5,0.4918918918918919,0.4844124700239808
70,0,91,42,100000,100000,551,567,800,802,0.5,0.49265687583444595,0.4844124700239808
70,0,92,42,100000,100000,610,608,800,802,0.5,0.49007444168734493,0.4844124700239808
70,0,93,42,100000,100000,590,595,800,802,0.5,0.49238578680203043,0.4844124700239808
70,0,94,42,100000,100000,551,613,800,802,0.5,0.49265687583444595,0.4844124700239808
70,0,95,42,100000,100000,563,550,800,802,0.5,0.49175824175824173,0.4844124700239808
70,0,96,42,100000,100000,554,554,800,802,0.5,0.49043715846994534,0.4844124700239808
70,0,97,42,100000,100000,593,573,800,802,0.5,0.4900924702774108,0.4844124700239808
70,0,98,42,100000,100000,566,570,800,802,0.5,0.49267643142476697,0.4844124700239808
70,0,99,42,100000,100000,535,595,800,802,0.5,0.49105914718019256,0.4844124700239808
70,1,0,42,100000,100000,587,607,796,793,0.5,0.5167958656330749,0.48188405797101447
70,1,1,42,100000,100000,602,596,796,793,0.5,0.5178117048346056,0.48188405797101447
70,1,2,42,100000,100000,584,568,796,793,0.5,0.5160857908847185,0.48188405797101447
70,1,3,42,100000,100000,587,607,796,793,0.5,0.5167958656330749,0.48188405797101447
70,1,4,42,100000,100000,570,595,796,793,0.5,0.5152722443559097,0.48188405797101447
70,1,5,42,100000,100000,639,574,796,793,0.5,0.5171957671957672,0.48188405797101447
70,1,6,42,100000,100000,556,525,796,793,0.5,0.5187861271676301,0.48188405797101447
70,1,7,42,100000,100000,581,620,796,793,0.5,0.5156657963446475,0.48188405797101447
70,1,8,42,100000,100000,549,569,796,793,0.5,0.521557719054242,0.48188405797101447
70,1,9,42,100000,100000,600,565,796,793,0.5,0.5168236877523553,0.48188405797101447
70,1,10,42,100000,100000,567,581,796,793,0.5,0.5160857908847185,0.48188405797101447
70,1,11,42,100000,100000,555,595,796,793,0.5,0.5178571428571429,0.48188405797101447
70,1,12,42,100000,100000,557,579,796,793,0.5,0.518467852257182,0.48188405797101447
70,1,13,42,100000,100000,581,602,796,793,0.5,0.5156657963446475,0.48188405797101447
70,1,14,42,100000,100000,548,585,796,793,0.5,0.521557719054242,0.48188405797101447
70,1,15,42,100000,100000,600,580,796,793,0.5,0.515032679738562,0.48188405797101447
70,1,16,42,100000,100000,593,571,796,793,0.5,0.5152722443559097,0.48188405797101447
70,1,17,42,100000,100000,600,576,796,793,0.5,0.5164690382081687,0.48188405797101447
70,1,18,42,100000,100000,598,589,796,793,0.5,0.5173745173745173,0.48188405797101447
70,1,19,42,100000,100000,602,555,796,793,0.5,0.5190735694822888,0.48188405797101447
70,1,20,42,100000,100000,567,563,796,793,0.5,0.5168236877523553,0.48188405797101447
70,1,21,42,100000,100000,565,618,796,793,0.5,0.5160857908847185,0.48188405797101447
70,1,22,42,100000,100000,564,605,796,793,0.5,0.5168236877523553,0.48188405797101447
70,1,23,42,100000,100000,592,575,796,793,0.5,0.5171957671957672,0.48188405797101447
70,1,24,42,100000,100000,531,600,796,793,0.5,0.5179340028694405,0.48188405797101447
70,1,25,42,100000,100000,602,573,796,793,0.5,0.5165562913907285,0.48188405797101447
70,1,26,42,100000,100000,555,543,796,793,0.5,0.520949720670391,0.48188405797101447
70,1,27,42,100000,100000,564,562,796,793,0.5,0.5175675675675676,0.48188405797101447
70,1,28,42,100000,100000,572,573,796,793,0.5,0.5165562913907285,0.48188405797101447
70,1,29,42,100000,100000,560,582,796,793,0.5,0.5190735694822888,0.48188405797101447
70,1,30,42,100000,100000,558,578,796,793,0.5,0.518467852257182,0.48188405797101447
70,1,31,42,100000,100000,572,584,796,793,0.5,0.5165562913907285,0.48188405797101447
70,1,32,42,100000,100000,607,581,796,793,0.5,0.5156657963446475,0.48188405797101447
70,1,33,42,100000,100000,552,570,796,793,0.5,0.521497919556172,0.48188405797101447
70,1,34,42,100000,100000,578,564,796,793,0.5,0.5168236877523553,0.48188405797101447
70,1,35,42,100000,100000,595,564,796,793,0.5,0.5168236877523553,0.48188405797101447
70,1,36,42,100000,100000,559,597,796,793,0.5,0.5184174624829468,0.48188405797101447
70,1,37,42,100000,100000,574,540,796,793,0.5,0.5210674157303371,0.48188405797101447
70,1,38,42,100000,100000,570,550,796,793,0.5,0.5178571428571429,0.48188405797101447
70,1,39,42,100000,100000,571,602,796,793,0.5,0.5159151193633952,0.48188405797101447
70,1,40,42,100000,100000,573,588,796,793,0.5,0.5171957671957672,0.48188405797101447
70,1,41,42,100000,100000,557,540,796,793,0.5,0.5210674157303371,0.48188405797101447
70,1,42,42,100000,100000,588,589,796,793,0.5,0.5174193548387097,0.48188405797101447
70,1,43,42,100000,100000,577,588,796,793,0.5,0.5164257555847569,0.48188405797101447
70,1,44,42,100000,100000,611,614,796,793,0.5,0.5168119551681195,0.48188405797101447
70,1,45,42,100000,100000,593,587,796,793,0.5,0.5167958656330749,0.48188405797101447
70,1,46,42,100000,100000,575,582,796,793,0.5,0.5164690382081687,0.48188405797101447
70,1,47,42,100000,100000,571,585,796,793,0.5,0.5159151193633952,0.48188405797101447
70,1,48,42,100000,100000,570,548,796,793,0.5,0.521497919556172,0.48188405797101447
70,1,49,42,100000,100000,583,579,796,793,0.5,0.5164257555847569,0.48188405797101447
70,1,50,42,100000,100000,563,590,796,793,0.5,0.5175675675675676,0.48188405797101447
70,1,51,42,100000,100000,528,580,796,793,0.5,0.5187861271676301,0.48188405797101447
70,1,52,42,100000,100000,556,605,796,793,0.5,0.5178082191780822,0.48188405797101447
70,1,53,42,100000,100000,553,558,796,793,0.5,0.521497919556172,0.48188405797101447
70,1,54,42,100000,100000,555,575,796,793,0.5,0.5178571428571429,0.48188405797101447
70,1,55,42,100000,100000,568,607,796,793,0.5,0.5139813581890812,0.48188405797101447
70,1,56,42,100000,100000,581,556,796,793,0.5,0.5190735694822888,0.48188405797101447
70,1,57,42,100000,100000,565,591,796,793,0.5,0.5160857908847185,0.48188405797101447
70,1,58,42,100000,100000,589,592,796,793,0.5,0.5174193548387097,0.48188405797101447
70,1,59,42,100000,100000,582,541,796,793,0.5,0.5210674157303371,0.48188405797101447
70,1,60,42,100000,100000,602,568,796,793,0.5,0.5160857908847185,0.48188405797101447
70,1,61,42,100000,100000,580,552,796,793,0.5,0.5178082191780822,0.48188405797101447
70,1,62,42,100000,100000,565,576,796,793,0.5,0.5160857908847185,0.48188405797101447
70,1,63,42,100000,100000,572,555,796,793,0.5,0.5190735694822888,0.48188405797101447
70,1,64,42,100000,100000,586,596,796,793,0.5,0.5161707632600259,0.48188405797101447
70,1,65,42,100000,100000,565,562,796,793,0.5,0.5175675675675676,0.48188405797101447
70,1,66,42,100000,100000,601,572,796,793,0.5,0.5159151193633952,0.48188405797101447
70,1,67,42,100000,100000,575,540,796,793,0.5,0.5210674157303371,0.48188405797101447
70,1,68,42,100000,100000,598,588,796,793,0.5,0.5174193548387097,0.48188405797101447
70,1,69,42,100000,100000,613,588,796,793,0.5,0.5174193548387097,0.48188405797101447
70,1,70,42,100000,100000,606,589,796,793,0.5,0.5173745173745173,0.48188405797101447
70,1,71,42,100000,100000,586,611,796,793,0.5,0.5161707632600259,0.48188405797101447
70,1,72,42,100000,100000,564,590,796,793,0.5,0.5168236877523553,0.48188405797101447
70,1,73,42,100000,100000,599,569,796,793,0.5,0.5139813581890812,0.48188405797101447
70,1,74,42,100000,100000,561,585,796,793,0.5,0.5190735694822888,0.48188405797101447
70,1,75,42,100000,100000,584,559,796,793,0.5,0.516914749661705,0.48188405797101447
70,1,76,42,100000,100000,561,596,796,793,0.5,0.5190735694822888,0.48188405797101447
70,1,77,42,100000,100000,574,569,796,793,0.5,0.5139813581890812,0.48188405797101447
70,1,78,42,100000,100000,593,574,796,793,0.5,0.5171957671957672,0.48188405797101447
70,1,79,42,100000,100000,619,575,796,793,0.5,0.5171957671957672,0.48188405797101447
70,1,80,42,100000,100000,571,570,796,793,0.5,0.5146276595744681,0.48188405797101447
70,1,81,42,100000,100000,575,567,796,793,0.5,0.5160857908847185,0.48188405797101447
70,1,82,42,100000,100000,594,579,796,793,0.5,0.5164257555847569,0.48188405797101447
70,1,83,42,100000,100000,579,619,796,793,0.5,0.515032679738562,0.48188405797101447
70,1,84,42,100000,100000,596,570,796,793,0.5,0.5146276595744681,0.48188405797101447
70,1,85,42,100000,100000,572,581,796,793,0.5,0.5165562913907285,0.48188405797101447
70,1,86,42,100000,100000,571,562,796,793,0.5,0.5175675675675676,0.48188405797101447
70,1,87,42,100000,100000,577,581,796,793,0.5,0.5164257555847569,0.48188405797101447
70,1,88,42,100000,100000,574,612,796,793,0.5,0.5171957671957672,0.48188405797101447
70,1,89,42,100000,100000,586,588,796,793,0.5,0.5161707632600259,0.48188405797101447
70,1,90,42,100000,100000,544,607,796,793,0.5,0.5210674157303371,0.48188405797101447
70,1,91,42,100000,100000,567,599,796,793,0.5,0.5160857908847185,0.48188405797101447
70,1,92,42,100000,100000,555,548,796,793,0.5,0.521497919556172,0.48188405797101447
70,1,93,42,100000,100000,573,534,796,793,0.5,0.5205673758865248,0.48188405797101447
70,1,94,42,100000,100000,609,541,796,793,0.5,0.5210674157303371,0.48188405797101447
70,1,95,42,100000,100000,560,570,796,793,0.5,0.5190735694822888,0.48188405797101447
70,1,96,42,100000,100000,602,575,796,793,0.5,0.5171957671957672,0.48188405797101447
70,1,97,42,100000,100000,611,621,796,793,0.5,0.5168119551681195,0.48188405797101447
70,1,98,42,100000,100000,560,593,796,793,0.5,0.5190735694822888,0.48188405797101447
70,1,99,42,100000,100000,579,603,796,793,0.5,0.515032679738562,0.48188405797101447
70,2,0,42,100000,100000,593,572,805,804,0.5,0.49029754204398446,0.4916267942583732
70,2,1,42,100000,100000,586,550,805,804,0.5,0.48460508701472554,0.4916267942583732
70,2,2,42,100000,100000,587,590,805,804,0.5,0.49167733674775926,0.4916267942583732
70,2,3,42,100000,100000,590,581,805,804,0.5,0.49167733674775926,0.4916267942583732
70,2,4,42,100000,100000,602,556,805,804,0.5,0.48738379814077026,0.4916267942583732
70,2,5,42,100000,100000,572,592,805,804,0.5,0.4869109947643979,0.4916267942583732
70,2,6,42,100000,100000,605,566,805,804,0.5,0.48825065274151436,0.4916267942583732
70,2,7,42,100000,100000,624,598,805,804,0.5,0.4851116625310174,0.4916267942583732
70,2,8,42,100000,100000,579,569,805,804,0.5,0.4889466840052016,0.4916267942583732
70,2,9,42,100000,100000,578,589,805,804,0.5,0.4896103896103896,0.4916267942583732
70,2,10,42,100000,100000,570,582,805,804,0.5,0.48620236530880423,0.4916267942583732
70,2,11,42,100000,100000,586,594,805,804,0.5,0.491025641025641,0.4916267942583732
70,2,12,42,100000,100000,592,580,805,804,0.5,0.49167733674775926,0.4916267942583732
70,2,13,42,100000,100000,554,589,805,804,0.5,0.48313090418353577,0.4916267942583732
70,2,14,42,100000,100000,596,581,805,804,0.5,0.4891994917407878,0.4916267942583732
70,2,15,42,100000,100000,570,611,805,804,0.5,0.48620236530880423,0.4916267942583732
70,2,16,42,100000,100000,594,539,805,804,0.5,0.4842681258549932,0.4916267942583732
70,2,17,42,100000,100000,607,574,805,804,0.5,0.49097938144329895,0.4916267942583732
70,2,18,42,100000,100000,577,592,805,804,0.5,0.4896103896103896,0.4916267942583732
70,2,19,42,100000,100000,582,613,805,804,0.5,0.4909560723514212,0.4916267942583732
70,2,20,42,100000,100000,574,624,805,804,0.5,0.48825065274151436,0.4916267942583732
70,2,21,42,100000,100000,571,574,805,804,0.5,0.48623853211009177,0.4916267942583732
70,2,22,42,100000,100000,614,587,805,804,0.5,0.489281210592686,0.4916267942583732
70,2,23,42,100000,100000,571,604,805,804,0.5,0.48623853211009177,0.4916267942583732
70,2,24,42,100000,100000,573,587,805,804,0.5,0.4875816993464052,0.4916267942583732
70,2,25,42,100000,100000,566,584,805,804,0.5,0.4868073878627968,0.4916267942583732
70,2,26,42,100000,100000,576,578,805,804,0.5,0.4889466840052016,0.4916267942583732
70,2,27,42,100000,100000,579,568,805,804,0.5,0.48891786179921776,0.4916267942583732
70,2,28,42,100000,100000,562,546,805,804,0.5,0.4838274932614555,0.4916267942583732
70,2,29,42,100000,100000,567,543,805,804,0.5,0.4817320703653586,0.4916267942583732
70,2,30,42,100000,100000,576,623,805,804,0.5,0.4889466840052016,0.4916267942583732
70,2,31,42,100000,100000,579,576,805,804,0.5,0.4896373056994819,0.4916267942583732
70,2,32,42,100000,100000,579,551,805,804,0.5,0.48460508701472554,0.4916267942583732
70,2,33,42,100000,100000,609,581,805,804,0.5,0.4891994917407878,0.4916267942583732
70,2,34,42,100000,100000,548,570,805,804,0.5,0.4842681258549932,0.4916267942583732
70,2,35,42,100000,100000,605,544,805,804,0.5,0.48243243243243245,0.4916267942583732
70,2,36,42,100000,100000,579,613,805,804,0.5,0.4896373056994819,0.4916267942583732
70,2,37,42,100000,100000,614,552,805,804,0.5,0.48464619492656874,0.4916267942583732
70,2,38,42,100000,100000,587,587,805,804,0.5,0.49167733674775926,0.4916267942583732
70,2,39,42,100000,100000,568,595,805,804,0.5,0.4868073878627968,0.4916267942583732
70,2,40,42,100000,100000,550,560,805,804,0.5,0.48365122615803813,0.4916267942583732
70,2,41,42,100000,100000,604,558,805,804,0.5,0.48741721854304637,0.4916267942583732
70,2,42,42,100000,100000,590,593,805,804,0.5,0.49167733674775926,0.4916267942583732
70,2,43,42,100000,100000,555,570,805,804,0.5,0.4838274932614555,0.4916267942583732
70,2,44,42,100000,100000,597,563,805,804,0.5,0.48623853211009177,0.4916267942583732
70,2,45,42,100000,100000,596,538,805,804,0.5,0.4842681258549932,0.4916267942583732
70,2,46,42,100000,100000,529,600,805,804,0.5,0.4850640113798009,0.4916267942583732
70,2,47,42,100000,100000,605,599,805,804,0.5,0.4839506172839506,0.4916267942583732
70,2,48,42,100000,100000,577,562,805,804,0.5,0.48620236530880423,0.4916267942583732
70,2,49,42,100000,100000,615,570,805,804,0.5,0.4896103896103896,0.4916267942583732
70,2,50,42,100000,100000,565,547,805,804,0.5,0.4838274932614555,0.4916267942583732
70,2,51,42,100000,100000,589,593,805,804,0.5,0.49167733674775926,0.4916267942583732
70,2,52,42,100000,100000,549,605,805,804,0.5,0.48365122615803813,0.4916267942583732
70,2,53,42,100000,100000,596,564,805,804,0.5,0.4869109947643979,0.4916267942583732
70,2,54,42,100000,100000,584,608,805,804,0.5,0.49097938144329895,0.4916267942583732
70,2,55,42,100000,100000,592,572,805,804,0.5,0.49029754204398446,0.4916267942583732
70,2,56,42,100000,100000,568,566,805,804,0.5,0.4868073878627968,0.4916267942583732
70,2,57,42,100000,100000,587,573,805,804,0.5,0.4909560723514212,0.4916267942583732
70,2,58,42,100000,100000,580,607,805,804,0.5,0.49029754204398446,0.4916267942583732
70,2,59,42,100000,100000,533,586,805,804,0.5,0.48314606741573035,0.4916267942583732
70,2,60,42,100000,100000,592,634,805,804,0.5,0.48984771573604063,0.4916267942583732
70,2,61,42,100000,100000,573,606,805,804,0.5,0.4875816993464052,0.4916267942583732
70,2,62,42,100000,100000,585,592,805,804,0.5,0.49037227214377405,0.4916267942583732
70,2,63,42,100000,100000,552,593,805,804,0.5,0.4817320703653586,0.4916267942583732
70,2,64,42,100000,100000,581,573,805,804,0.5,0.4909560723514212,0.4916267942583732
70,2,65,42,100000,100000,573,604,805,804,0.5,0.4875816993464052,0.4916267942583732
70,2,66,42,100000,100000,567,626,805,804,0.5,0.4868073878627968,0.4916267942583732
70,2,67,42,100000,100000,606,583,805,804,0.5,0.48984771573604063,0.4916267942583732
70,2,68,42,100000,100000,609,562,805,804,0.5,0.48620236530880423,0.4916267942583732
70,2,69,42,100000,100000,602,570,805,804,0.5,0.4896103896103896,0.4916267942583732
70,2,70,42,100000,100000,552,563,805,804,0.5,0.4817320703653586,0.4916267942583732
70,2,71,42,100000,100000,571,587,805,804,0.5,0.48623853211009177,0.4916267942583732
70,2,72,42,100000,100000,567,588,805,804,0.5,0.4868073878627968,0.4916267942583732
70,2,73,42,100000,100000,586,598,805,804,0.5,0.491025641025641,0.4916267942583732
70,2,74,42,100000,100000,559,579,805,804,0.5,0.48460508701472554,0.4916267942583732
70,2,75,42,100000,100000,608,589,805,804,0.5,0.489281210592686,0.4916267942583732
70,2,76,42,100000,100000,600,562,805,804,0.5,0.48620236530880423,0.4916267942583732
70,2,77,42,100000,100000,572,564,805,804,0.5,0.4869109947643979,0.4916267942583732
70,2,78,42,100000,100000,614,602,805,804,0.5,0.48462484624846247,0.4916267942583732
70,2,79,42,100000,100000,589,581,805,804,0.5,0.49167733674775926,0.4916267942583732
70,2,80,42,100000,100000,604,545,805,804,0.5,0.48313090418353577,0.4916267942583732
70,2,81,42,100000,100000,571,584,805,804,0.5,0.48623853211009177,0.4916267942583732
70,2,82,42,100000,100000,593,553,805,804,0.5,0.48533333333333334,0.4916267942583732
70,2,83,42,100000,100000,607,642,805,804,0.5,0.48588957055214727,0.4916267942583732
70,2,84,42,100000,100000,595,577,805,804,0.5,0.491025641025641,0.4916267942583732
70,2,85,42,100000,100000,598,583,805,804,0.5,0.48984771573604063,0.4916267942583732
70,2,86,42,100000,100000,579,556,805,804,0.5,0.48738379814077026,0.4916267942583732
70,2,87,42,100000,100000,556,594,805,804,0.5,0.4838274932614555,0.4916267942583732
70,2,88,42,100000,100000,605,557,805,804,0.5,0.48738379814077026,0.4916267942583732
70,2,89,42,100000,100000,585,559,805,804,0.5,0.48741721854304637,0.4916267942583732
70,2,90,42,100000,100000,560,545,805,804,0.5,0.48313090418353577,0.4916267942583732
70,2,91,42,100000,100000,562,606,805,804,0.5,0.48601864181091875,0.4916267942583732
70,2,92,42,100000,100000,594,575,805,804,0.5,0.49097938144329895,0.4916267942583732
70,2,93,42,100000,100000,561,565,805,804,0.5,0.48533333333333334,0.4916267942583732
70,2,94,42,100000,100000,564,582,805,804,0.5,0.48738379814077026,0.4916267942583732
70,2,95,42,100000,100000,570,582,805,804,0.5,0.48620236530880423,0.4916267942583732
70,2,96,42,100000,100000,582,580,805,804,0.5,0.4909560723514212,0.4916267942583732
70,2,97,42,100000,100000,583,613,805,804,0.5,0.49097938144329895,0.4916267942583732
70,2,98,42,100000,100000,567,560,805,804,0.5,0.48741721854304637,0.4916267942583732
70,2,99,42,100000,100000,578,599,805,804,0.5,0.4896103896103896,0.4916267942583732
70,3,0,42,100000,100000,564,561,787,790,0.5,0.5081743869209809,0.49326805385556916
70,3,1,42,100000,100000,588,587,787,790,0.5,0.5038759689922481,0.49326805385556916
70,3,2,42,100000,100000,553,588,787,790,0.5,0.5080862533692723,0.49326805385556916
70,3,3,42,100000,100000,573,595,787,790,0.5,0.5045513654096229,0.49326805385556916
70,3,4,42,100000,100000,561,594,787,790,0.5,0.5059602649006623,0.49326805385556916
70,3,5,42,100000,100000,564,581,787,790,0.5,0.5065963060686016,0.49326805385556916
70,3,6,42,100000,100000,589,579,787,790,0.5,0.5065963060686016,0.49326805385556916
70,3,7,42,100000,100000,590,546,787,790,0.5,0.5184135977337111,0.49326805385556916
70,3,8,42,100000,100000,602,562,787,790,0.5,0.508843537414966,0.49326805385556916
70,3,9,42,100000,100000,564,567,787,790,0.5,0.5080862533692723,0.49326805385556916
70,3,10,42,100000,100000,576,637,787,790,0.5,0.5045395590142672,0.49326805385556916
70,3,11,42,100000,100000,573,540,787,790,0.5,0.5223665223665224,0.49326805385556916
