metric	k	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	100	0	1000	1000	424.862000	425.230000	0.500375	0.501902	3.465638e-04
jaccard	100	1	2000	2000	524.552000	524.752000	0.499813	0.501082	3.349911e-04
jaccard	100	2	4000	4000	624.332000	624.708000	0.500094	0.500267	3.062287e-04
jaccard	100	3	8000	8000	724.858000	724.576000	0.499953	0.500949	3.646154e-04
jaccard	100	4	16000	16000	825.538000	825.876000	0.500023	0.500441	2.603674e-04
jaccard	100	5	32000	32000	925.102000	924.856000	0.499988	0.500509	2.334533e-04
jaccard	100	6	64000	64000	1025.690000	1026.076000	0.500006	0.499903	2.113809e-04
jaccard	100	7	128000	128000	1124.672000	1125.158000	0.499997	0.500795	2.096745e-04
jaccard	100	8	256000	256000	1224.408000	1225.034000	0.500001	0.500210	1.972668e-04
jaccard	100	9	512000	512000	1325.408000	1325.170000	0.499999	0.500790	1.737354e-04
