metric	k	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	100	0	1000	1000	425.558000	425.380000	0.399580	0.400239	3.437889e-04
jaccard	100	1	2000	2000	524.820000	525.180000	0.400070	0.401853	3.453285e-04
jaccard	100	2	4000	4000	624.962000	624.908000	0.400070	0.400662	3.100321e-04
jaccard	100	3	8000	8000	724.942000	724.314000	0.399948	0.400916	2.982600e-04
jaccard	100	4	16000	16000	825.782000	825.912000	0.400009	0.400546	2.646720e-04
jaccard	100	5	32000	32000	924.976000	925.342000	0.400009	0.399546	2.583375e-04
jaccard	100	6	64000	64000	1026.054000	1025.670000	0.399993	0.400050	1.946164e-04
jaccard	100	7	128000	128000	1125.142000	1125.274000	0.400001	0.400543	1.986971e-04
jaccard	100	8	256000	256000	1224.602000	1224.824000	0.400001	0.399667	1.627137e-04
jaccard	100	9	512000	512000	1325.606000	1325.220000	0.399999	0.400110	1.785515e-04
