metric	aMGS_alpha	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
cosine	0.4	0	1000	1000	56.730000	56.655000	0.400000	0.399524	4.990864e-03
cosine	0.4	1	2000	2000	74.600000	74.380000	0.400000	0.407639	3.405470e-03
cosine	0.4	2	4000	4000	100.010000	99.970000	0.400000	0.402351	2.384789e-03
cosine	0.4	3	8000	8000	130.750000	130.505000	0.400000	0.404045	1.729227e-03
cosine	0.4	4	16000	16000	172.275000	171.645000	0.400000	0.404713	1.576446e-03
cosine	0.4	5	32000	32000	232.330000	232.890000	0.400000	0.397482	1.093456e-03
cosine	0.4	6	64000	64000	301.595000	301.815000	0.400000	0.400500	8.438030e-04
cosine	0.4	7	128000	128000	401.500000	402.375000	0.400000	0.403636	6.114278e-04
cosine	0.4	8	256000	256000	526.155000	526.870000	0.400000	0.400667	4.849680e-04
cosine	0.4	9	512000	512000	689.380000	688.810000	0.400000	0.400387	3.878599e-04
