metric	aMGS_alpha	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	0.4	0	1000	1000	56.815000	56.585000	0.399580	0.399632	3.725940e-03
jaccard	0.4	1	2000	2000	74.640000	74.190000	0.400070	0.411678	2.900982e-03
jaccard	0.4	2	4000	4000	100.425000	100.130000	0.400070	0.404290	2.050141e-03
jaccard	0.4	3	8000	8000	130.270000	130.605000	0.399948	0.405333	1.269831e-03
jaccard	0.4	4	16000	16000	172.280000	172.945000	0.400009	0.401237	1.309269e-03
jaccard	0.4	5	32000	32000	233.015000	233.530000	0.400009	0.398690	9.556671e-04
jaccard	0.4	6	64000	64000	302.595000	301.485000	0.399993	0.402422	6.180653e-04
jaccard	0.4	7	128000	128000	401.610000	402.615000	0.400001	0.402379	5.205802e-04
jaccard	0.4	8	256000	256000	524.305000	525.745000	0.400001	0.400344	4.029402e-04
jaccard	0.4	9	512000	512000	688.330000	687.460000	0.399999	0.400095	3.073524e-04
