metric	aMGS_alpha	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
cosine	0.25	0	1000	1000	30.200000	30.535000	0.100000	0.112187	5.669401e-03
cosine	0.25	1	2000	2000	37.175000	37.095000	0.100000	0.104442	4.142553e-03
cosine	0.25	2	4000	4000	44.530000	44.775000	0.100000	0.106600	3.348520e-03
cosine	0.25	3	8000	8000	53.735000	53.540000	0.100000	0.094331	2.583890e-03
cosine	0.25	4	16000	16000	64.700000	63.985000	0.100000	0.102249	2.202940e-03
cosine	0.25	5	32000	32000	76.905000	76.875000	0.100000	0.098952	1.718915e-03
cosine	0.25	6	64000	64000	91.695000	92.400000	0.100000	0.104121	1.684953e-03
cosine	0.25	7	128000	128000	109.395000	108.360000	0.100000	0.096897	1.238553e-03
cosine	0.25	8	256000	256000	130.550000	129.670000	0.100000	0.100907	1.128843e-03
cosine	0.25	9	512000	512000	156.100000	155.570000	0.100000	0.099537	9.650193e-04
