metric	aMGS_alpha	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
cosine	0.4	0	1000	1000	56.455000	56.735000	0.100000	0.102808	2.557362e-03
cosine	0.4	1	2000	2000	74.600000	74.510000	0.100000	0.100688	1.754381e-03
cosine	0.4	2	4000	4000	100.120000	99.940000	0.100000	0.101172	1.304212e-03
cosine	0.4	3	8000	8000	131.715000	130.595000	0.100000	0.099484	9.448271e-04
cosine	0.4	4	16000	16000	172.450000	171.680000	0.100000	0.100316	6.856234e-04
cosine	0.4	5	32000	32000	232.880000	232.880000	0.100000	0.098599	5.804068e-04
cosine	0.4	6	64000	64000	300.680000	300.185000	0.100000	0.102117	3.996317e-04
cosine	0.4	7	128000	128000	403.130000	400.200000	0.100000	0.098732	3.037115e-04
cosine	0.4	8	256000	256000	526.190000	527.375000	0.100000	0.100509	2.412231e-04
cosine	0.4	9	512000	512000	687.925000	687.915000	0.100000	0.100742	1.804296e-04
